Honiara International Airport
Jomo Kenyatta International Airport
Moi International Airport
Mitiga International Airport
Kigali International Airport
Khartoum International Airport
Julius Nyerere International Airport
Abeid Amani Karume International Airport
Entebbe International Airport
Joint Base Andrews
Hartsfield Jackson Atlanta International Airport
Austin Bergstrom International Airport
Nashville International Airport
Logan International Airport
Buffalo Niagara International Airport
Baltimore/Washington International Thurgood Marshall Airport
Cleveland Hopkins International Airport
Charlotte Douglas International Airport
Camarillo International Airport
John Glenn Columbus International Airport
Cincinnati Northern Kentucky International Airport
Ronald Reagan Washington National Airport
Denver International Airport
Dallas Fort Worth International Airport
Detroit Metropolitan Wayne County Airport
Newark Liberty International Airport
Fort Lauderdale Hollywood International Airport
Washington Dulles International Airport
George Bush Intercontinental Houston Airport
Indianapolis International Airport
Jacksonville International Airport
John F Kennedy International Airport
Harry Reid International Airport
Los Angeles International Airport
La Guardia Airport
Kansas City International Airport
Orlando International Airport
Chicago Midway International Airport
Memphis International Airport
Miami International Airport
General Mitchell International Airport
Minneapolisâ€“Saint Paul International Airport / Woldâ€“Chamberlain Field
Louis Armstrong New Orleans International Airport
Metropolitan Oakland International Airport
Ontario International Airport
Chicago O'Hare International Airport
Palm Beach International Airport
Portland International Airport
Philadelphia International Airport
Phoenix Sky Harbor International Airport
Pittsburgh International Airport
Theodore Francis Green State Airport
Portland International Jetport
Raleigh Durham International Airport
Richmond International Airport
Reno Tahoe International Airport
Southwest Florida International Airport
San Diego International Airport
San Antonio International Airport
Savannah Hilton Head International Airport
Louisville Muhammad Ali International Airport
Seattleâ€“Tacoma International Airport
Orlando Sanford International Airport
San Francisco International Airport
Norman Y. Mineta San Jose International Airport
Salt Lake City International Airport
Sacramento International Airport
John Wayne Airport-Orange County Airport
St Louis Lambert International Airport
Syracuse Hancock International Airport
Tampa International Airport
Tulsa International Airport
Tirana International Airport Mother Teresa
Burgas Airport
Sofia Airport
Varna Airport
Larnaca International Airport
Zagreb Airport
Alicante-Elche Miguel HernÃ¡ndez Airport
Josep Tarradellas Barcelona-El Prat Airport
Ibiza Airport
Adolfo SuÃ¡rez Madridâ€“Barajas Airport
MÃ¡laga-Costa del Sol Airport
Palma de Mallorca Airport
Santiago-RosalÃ­a de Castro Airport
Bordeaux-MÃ©rignac Airport
Toulouse-Blagnac Airport
Lyon Saint-ExupÃ©ry Airport
Marseille Provence Airport
Nice-CÃ´te d'Azur Airport
Charles de Gaulle International Airport
Paris-Orly Airport
EuroAirport Basel-Mulhouse-Freiburg Airport
Athens Eleftherios Venizelos International Airport
Heraklion International Nikos Kazantzakis Airport
Thessaloniki Macedonia International Airport
Budapest Liszt Ferenc International Airport
Bari Karol WojtyÅ‚a Airport
Brindisi Airport
Catania-Fontanarossa Airport
Falconeâ€“Borsellino Airport
Cagliari Elmas Airport
Malpensa International Airport
Milan Bergamo Airport
Turin Airport
Bologna Guglielmo Marconi Airport
Verona-Villafranca Valerio Catullo Airport
Venice Marco Polo Airport
Romeâ€“Fiumicino Leonardo da Vinci International Airport
Naples International Airport
Pisa International Airport
Ljubljana JoÅ¾e PuÄnik Airport
VÃ¡clav Havel Airport Prague
Ben Gurion International Airport
Ramon International Airport
Malta International Airport
Vienna International Airport
Faro Airport
JoÃ£o Paulo II Airport
Francisco de SÃ¡ Carneiro Airport
Humberto Delgado Airport (Lisbon Portela Airport)
Henri CoandÄƒ International Airport
Geneva Cointrin International Airport
ZÃ¼rich Airport
EsenboÄŸa International Airport
Antalya International Airport
Ä°stanbul AtatÃ¼rk Airport
Adnan Menderes International Airport
Dalaman International Airport
Milas Bodrum International Airport
Istanbul Sabiha GÃ¶kÃ§en International Airport
Ä°stanbul Airport
Skopje International Airport
Belgrade Nikola Tesla Airport
Podgorica Airport / Podgorica Golubovci Airbase
M. R. Å tefÃ¡nik Airport
Providenciales International Airport
Punta Cana International Airport
Las AmÃ©ricas International Airport
La Aurora Airport
Norman Manley International Airport
Aeropuerto Internacional Juan N. Ãlvarez
Aeropuerto Internacional de Cozumel
Aeropuerto Internacional Gral, Guadalupe Victoria
Aeropuerto Internacional Miguel Hidalgo
General Ignacio P. Garcia International Airport
Aeropuerto Internacional Del BajÃ­o
Aeropuerto Internacional Manuel Crescencio RejÃ³n
Aeropuerto Internacional Lic. Benito JuÃ¡rez
Aeropuerto Internacional Gral. Mariano Escobedo
Aeropuerto Internacional Gral. Rafael Buelna
Aeropuerto Internacional Lic. Gustavo DÃ­az Ordaz
Aeropuerto Internacional de Los Cabos
Santa LucÃ­a Air Force Base / General Felipe Ãngeles International Airport
Aeropuerto Internacional Gral. Abelardo Rodriguez
Aeropuerto Internacional Adolfo LÃ³pez Mateos
Aeropuerto Internacional de CancÃºn
Tocumen International Airport
Guanacaste Airport
MonseÃ±or Ã“scar Arnulfo Romero International Airport
Toussaint Louverture International Airport
JosÃ© MartÃ­ International Airport
Juan Gualberto Gomez International Airport
Owen Roberts International Airport
Lynden Pindling International Airport
Philip S. W. Goldson International Airport
Faa'a International Airport
Bauerfield International Airport
NoumÃ©a Magenta Airport
Auckland International Airport
Christchurch International Airport
Wellington International Airport
Bahrain International Airport
King Fahd International Airport
King Abdulaziz Air Base
King Abdulaziz International Airport
Prince Mohammad Bin Abdulaziz Airport
King Khaled International Airport
Imam Khomeini International Airport
Mehrabad International Airport
Mashhad International Airport
Shiraz Shahid Dastghaib International Airport
Queen Alia International Airport
Kuwait International Airport
Beirut Rafic Hariri International Airport
Duqm International Airport
Abu Dhabi International Airport
Dubai International Airport
Al Maktoum International Airport
Sharjah International Airport
Muscat International Airport
Islamabad International Airport
Jinnah International Airport
Allama Iqbal International Airport
Baghdad International Airport / New Al Muthana Air Base
Damascus International Airport
Hamad International Airport
Fairbanks International Airport
Ted Stevens Anchorage International Airport
Antonio B. Won Pat International Airport
Daniel K Inouye International Airport
Kaohsiung International Airport
Taiwan Taoyuan International Airport
Narita International Airport
Kansai International Airport
New Chitose Airport
Fukuoka Airport
Kagoshima Airport
Chubu Centrair International Airport
Osaka International Airport
Sendai Airport
Tokyo Haneda International Airport
Yokota Air Base
Muan International Airport
Jeju International Airport
Gimhae International Airport
Incheon International Airport
Gimpo International Airport
Naha Airport / JASDF Naha Air Base
Kadena Air Base
Ninoy Aquino International Airport
Francisco Bangoy International Airport
Mactan Cebu International Airport
Lipetsk Air Base
Olenya Air Base
Jorge Newbery Airpark
Minister Pistarini International Airport
Val de Cans/JÃºlio Cezar Ribeiro International Airport
Presidente Juscelino Kubitschek International Airport
Tancredo Neves International Airport
Eduardo Gomes International Airport
HercÃ­lio Luz International Airport
Rio GaleÃ£o â€“ Tom Jobim International Airport
Guarulhos - Governador AndrÃ© Franco Montoro International Airport
Deputado Luiz Eduardo MagalhÃ£es International Airport
Comodoro Arturo Merino BenÃ­tez International Airport
JosÃ© JoaquÃ­n de Olmedo International Airport
Mariscal Sucre International Airport
Aeropuerto Internacional Silvio Pettirossi
Aeropuerto Internacional GuaranÃ­
Aeropuerto Internacional Dr. Luis Maria ArgaÃ±a
Aeropuerto Internacional Dr. Augusto Roberto Fuster
El Dorado International Airport
Viru Viru International Airport
Johan Adolf Pengel International Airport
Cayenne â€“ FÃ©lix EbouÃ© Airport
Jorge ChÃ¡vez International Airport
Alejandro Velasco Astete International Airport
Carrasco General CesÃ¡reo L. Berisso International Airport
General JosÃ© Antonio Anzoategui International Airport
SimÃ³n BolÃ­var International Airport
Qingdao Jiaodong International Airport
Martinique AimÃ© CÃ©saire International Airport
Pointe-Ã -Pitre Le Raizet International  Airport
Luis Munoz Marin International Airport
Hewanorra International Airport
Queen Beatrix International Airport
Flamingo International Airport
Hato International Airport
Princess Juliana International Airport
Almaty International Airport
Nursultan Nazarbayev International Airport
Manas International Airport
Hazrat Sultan International Airport
Heydar Aliyev International Airport
Zvartnots International Airport
Tbilisi International Airport
Vladivostok International Airport
Boryspil International Airport
Lviv International Airport
Pulkovo Airport
Minsk National Airport
Krasnoyarsk International Airport
Novosibirsk Tolmachevo Airport
Platov International Airport
Sochi International Airport
Koltsovo Airport
Ashgabat International Airport
Tashkent International Airport
Zhukovsky International Airport
Domodedovo International Airport
Sheremetyevo International Airport
Vnukovo International Airport
Kazan International Airport
Gagarin International Airport
Ufa International Airport
Kurumoch International Airport
Chhatrapati Shivaji International Airport
Dabolim Airport
Bandaranaike International Colombo Airport
Mattala Rajapaksa International Airport
Phnom Penh International Airport
Siem Reap International Airport
Netaji Subhash Chandra Bose International Airport
Hazrat Shahjalal International Airport
Hong Kong International Airport
Indira Gandhi International Airport
Macau International Airport
Tribhuvan International Airport
Kempegowda International Airport
Cochin International Airport
Rajiv Gandhi International Airport
Chennai International Airport
Trivandrum International Airport
MalÃ© International Airport
Don Mueang International Airport
Suvarnabhumi Airport
Chiang Mai International Airport
Phuket International Airport
Noi Bai International Airport
Tan Son Nhat International Airport
Mandalay International Airport
Yangon International Airport
Hasanuddin International Airport
Ngurah Rai (Bali) International Airport
Dortheys Hiyo Eluay International Airport
Sultan Aji Muhammad Sulaiman Sepinggan International Airport
Juanda International Airport
Brunei International Airport
Soekarno-Hatta International Airport
Kualanamu International Airport
Kuala Lumpur International Airport
Singapore Changi Airport
Brisbane International Airport
Melbourne International Airport
Yantai Penglai International Airport
Adelaide International Airport
Darwin International Airport / RAAF Darwin
Perth International Airport
Sydney Kingsford Smith International Airport
Beijing Capital International Airport
Beijing Daxing International Airport
Hohhot Baita International Airport
Tianjin Binhai International Airport
Taiyuan Wusu Airport
Guangzhou Baiyun International Airport
Changsha Huanghua International Airport
Guilin Liangjiang International Airport
Nanning Wuxu Airport
Shenzhen Bao'an International Airport
Zhengzhou Xinzheng International Airport
Wuhan Tianhe International Airport
Haikou Meilan International Airport
Sanya Phoenix International Airport
Lanzhou Zhongchuan International Airport
Xi'an Xianyang International Airport
Ulaanbaatar Chinggis Khaan International Airport
Kunming Changshui International Airport
Xiamen Gaoqi International Airport
Nanchang Changbei International Airport
Fuzhou Changle International Airport
Hangzhou Xiaoshan International Airport
Jinan Yaoqiang International Airport
Ningbo Lishe International Airport
Nanjing Lukou International Airport
Shanghai Pudong International Airport
Shanghai Hongqiao International Airport
Wenzhou Longwan International Airport
Chongqing Jiangbei International Airport
Guiyang Longdongbao International Airport
Chengdu Tianfu International Airport
Chengdu Shuangliu International Airport
ÃœrÃ¼mqi Diwopu International Airport
Changchun Longjia International Airport
Harbin Taiping International Airport
Dalian Zhoushuizi International Airport
Shenyang Taoxian International Airport
